Rank,Released,Released Worldwide,Release Year,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
59,"Mar 9, 2018","Mar 9, 2018",2018,A Wrinkle in Time,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,103000000,3980,3980,21046,33123609,100478608,124743475,32735941,133214549
60,"Sep 21, 2018","Sep 19, 2018",2018,The House with a Clock in its Walls,Universal,Comedy,Based on Fiction Book/Short Story,Live Action,Historical Fiction,40000000,3592,3592,17634,26608020,68549695,85103860,62907452,131457147
61,"Nov 16, 2018","Nov 16, 2018",2018,Instant Family,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,48000000,3286,3426,19071,14504315,67363237,83613914,52372951,119736188
62,"Jan 12, 2018","Jan 11, 2018",2018,The Commuter,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,40000000,2892,2892,10148,13701452,36343858,45120646,82165978,118509836
63,"Nov 16, 2018","Nov 14, 2018",2018,A Cool Fish,China Lion Film Distribution,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,15,36,121,71187,551196,684300,117577445,118128641
64,"Dec 31, 2018","Apr 12, 2019",2018,Meitantei Conan: Konjo no Fisuto,,Adventure,Based on Comic/Graphic Novel,Digital Animation,Contemporary Fiction,0,0,0,0,0,0,0,117776017,117776017
65,"Feb 23, 2018","Feb 23, 2018",2018,Game Night,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,37000000,3488,3502,18188,17005332,69179066,85885313,48500000,117679066
66,"Dec 31, 2018","Apr 3, 2019",2018,Fan Tan Feng Bao 4,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,115687407,115687407
67,"Feb 16, 2018","Feb 14, 2018",2018,Xi You Ji Nu Er Guo,Well Go USA,Action,Based on Fiction Book/Short Story,Live Action,Fantasy,0,34,34,51,95577,187074,232251,114902870,115089944
68,"May 18, 2018","May 18, 2018",2018,Book Club,Paramount Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,10000000,2781,3169,15924,13582231,68566296,85124568,37387336,105953632
69,"Oct 12, 2018","Oct 10, 2018",2018,First Man,Universal,Drama,Based on Factual Book/Article,Live Action,Dramatization,60000000,3640,3640,13619,16006065,44936545,55788305,60587192,105523737
70,"Sep 28, 2018","Sep 26, 2018",2018,Night School,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,29000000,3010,3019,16123,27257615,77339130,96015826,26806503,104145633
71,"Mar 6, 2018","Jul 14, 2017",2018,Wukong,,Action,Based on Folk Tale/Legend/Fairytale,Multiple Production Methods,Fantasy,0,0,0,0,0,0,0,103651195,103651195
72,"Aug 17, 2018","Aug 15, 2018",2018,Alpha,Sony Pictures,Adventure,Original Screenplay,Live Action,Historical Fiction,51000000,2719,2881,13590,10352512,35851379,44509227,63773494,99624873
73,"Sep 14, 2018","Sep 12, 2018",2018,A Simple Favor,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000,3102,3102,14181,16011689,53548586,66480191,44080131,97628717
74,"Mar 23, 2018","Mar 15, 2018",2018,Sherlock Gnomes,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,59000000,3662,3662,16784,10604774,43242871,53685720,54216235,97459106
75,"Nov 23, 2018","Nov 23, 2018",2018,The Favourite,Fox Searchlight,Black Comedy,Based on Real Life Events,Live Action,Dramatization,15000000,4,1554,9593,422410,34366783,42540902,61462676,95829459
76,"Apr 13, 2018","Apr 12, 2018",2018,Truth or Dare,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,3500000,3029,3068,12336,18667855,41411015,51411482,53881729,95292744
77,"Dec 31, 2018","Dec 28, 2018",2018,Kill Mobile,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,94951615,94951615
78,"Apr 6, 2018","Mar 29, 2018",2018,Blockers,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,21000000,3379,3418,15952,20556350,60311495,74876294,34212286,94523781
79,"Aug 1, 2018","Aug 1, 2018",2018,Singwa Hamgge: Ingwa Yeon,Well Go USA,Action,Based on Comic/Graphic Novel,Live Action,Fantasy,0,47,47,137,422671,1200246,1490093,92253188,93453434
80,"Aug 10, 2018","Aug 9, 2018",2018,BlacKkKlansman,Focus Features,Black Comedy,Based on Factual Book/Article,Live Action,Dramatization,15000000,1512,1914,10688,10845330,49275340,61169920,44136086,93411426
81,"Oct 12, 2018","Oct 10, 2018",2018,Goosebumps 2: Haunted Halloween,Sony Pictures,Horror,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,35000000,3521,3723,16639,15802225,46697321,57974393,46309108,93006429
82,"Dec 31, 2018","Feb 5, 2019",2018,X n x jÃ¹ zh wÃ¡ng,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,92796952,92796952
83,"Apr 20, 2018","Apr 20, 2018",2018,I Feel Pretty,STX Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,32000000,3440,3440,15658,16030218,48795601,60579391,42648494,91444095
84,"May 4, 2018","May 4, 2018",2018,Overboard,Lionsgate,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,12000000,1623,2006,10028,14711101,50316123,62467109,40928790,91244913
85,"Jul 27, 2018","Jul 27, 2018",2018,Di Ren Jie Zhi Si Da Tian Wang,Well Go USA,Action,Original Screenplay,Live Action,Fantasy,0,31,31,55,126929,262963,326463,89772584,90035547
86,"Dec 31, 2018","Sep 25, 2018",2018,Li Cha De Gu Ma,,Comedy,Based on Play,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,86876449,86876449
87,"Dec 31, 2018","Jan 30, 2019",2018,Qu est-ce qu on a encore fait au bon,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,86661493,86661493
88,"Mar 16, 2018","Mar 16, 2018",2018,I Can Only Imagine,Roadside Attractions,Drama,Based on Song,Live Action,Dramatization,7000000,1627,2894,16927,17108914,83482352,103642748,2301215,85783567
89,"Apr 6, 2018","Jul 8, 2016",2018,DÃ  YÃº H i TÃ¡ng,Shout! Factory,Adventure,Based on Folk Tale/Legend/Fairytale,Digital Animation,Fantasy,0,0,0,0,0,0,0,85717566,85717566
90,"Dec 14, 2018","Dec 5, 2018",2018,Mortal Engines,Universal,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,100000000,3103,3103,9899,7559850,15951040,19795938,69530864,85481904
91,"Nov 21, 2018","Nov 21, 2018",2018,Robin Hood,Lionsgate,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,99000000,2827,2939,10505,9195670,30824628,38267340,54385384,85210012
92,"Dec 31, 2018","Jul 13, 2018",2018,Xie Bu Ya Zheng,,Comedy,Original Screenplay,Live Action,Historical Fiction,0,0,0,0,0,0,0,85170584,85170584
93,"Dec 31, 2018","Aug 10, 2018",2018,Ai qing gong yu,,Comedy,Based on TV,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,81096320,81096320
94,"Jun 8, 2018","Jun 1, 2018",2018,Hereditary,A24,Horror,Original Screenplay,Live Action,Contemporary Fiction,10000000,2964,2998,10946,13575173,44069456,54711910,36790829,80860285
95,"Jan 19, 2018","Jan 19, 2018",2018,Den of Thieves,STX Entertainment,Action,Original Screenplay,Live Action,Contemporary Fiction,30000000,2432,2432,9964,15206108,44947622,55802149,35199544,80147166
96,"May 8, 2018","Aug 16, 2017",2018,Sha Po Lang: Tan Lang,,Action,Original Screenplay,Live Action,Contemporary Fiction,14500000,0,0,0,0,0,0,79226860,79226860
97,"Dec 31, 2018","Nov 29, 2018",2018,2,,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,0,0,0,0,0,0,0,79084747,79084747
98,"Aug 3, 2018","Aug 1, 2018",2018,The Spy Who Dumped Me,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000,3111,3111,10857,12103043,33562069,41667069,45436176,78998245
99,"Dec 31, 2018","Jul 27, 2018",2018,Code Blue the Movie,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,78778560,78778560
100,"Jun 15, 2018","Jun 15, 2018",2018,Tag,Warner Bros.,Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,28000000,3382,3382,14706,14947396,54730625,67947675,23500000,78230625
1,"Apr 26, 2019","Apr 23, 2019",2019,Avengers: Endgame,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,400000000,4662,4662,37780,357115007,858373000,1059847014,1859130922,2717503922
2,"Jul 19, 2019","Jul 11, 2019",2019,The Lion King,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Kids Fiction,260000000,4725,4802,40962,191770759,543638043,671238672,1117816360,1661454403
3,"Nov 22, 2019","Nov 20, 2019",2019,Frozen II,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,150000000,4440,4440,38297,130263358,477373578,589293820,974279738,1451653316
4,"Jul 2, 2019","Jun 27, 2019",2019,Spider-Man: Far From Home,Sony Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,160000000,4634,4634,33183,92579212,391362492,483026681,740936182,1132298674
5,"Mar 8, 2019","Mar 6, 2019",2019,Captain Marvel,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,175000000,4310,4310,34019,153433423,426829839,527013699,702746255,1129576094
6,"Oct 4, 2019","Oct 2, 2019",2019,Joker,Warner Bros.,Thriller/Suspense,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,55000000,4374,4374,32875,96202337,335451311,414182640,743300000,1078751311
7,"Jun 21, 2019","Jun 20, 2019",2019,Toy Story 4,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,4575,4575,38194,120908065,434038008,535913741,637139207,1071177215
8,"Dec 20, 2019","Dec 18, 2019",2019,Star Wars: The Rise of Skywalker,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,275000000,4406,4406,29704,177383864,515202542,635794003,554749272,1069951814
9,"May 24, 2019","May 22, 2019",2019,Aladdin,Walt Disney,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,182000000,4476,4476,35706,91500929,355559216,439014705,686566891,1042126107
10,"Dec 13, 2019","Dec 4, 2019",2019,Jumanji: The Next Level,Sony Pictures,Adventure,Original Screenplay,Live Action,Science Fiction,125000000,4227,4227,41449,59251543,316831246,390861114,475641422,792472668
11,"Aug 2, 2019","Jul 31, 2019",2019,Fast Furious Presents: Hobbs Shaw,Universal,Action,Spin-Off,Live Action,Contemporary Fiction,200000000,4253,4344,26762,60038950,173956935,214787441,586775991,760732926
12,"Aug 29, 2019","Jul 17, 2019",2019,Ne Zha,Well Go USA,Adventure,Original Screenplay,Digital Animation,Fantasy,0,66,135,428,1164810,3695533,4562929,739022963,742718496
13,"Feb 5, 2019","Feb 1, 2019",2019,The Wandering Earth,CMC Pictures,Action,Original Screenplay,Live Action,Science Fiction,50000000,64,129,425,1685287,5875487,7254562,604883925,610759412
14,"Dec 31, 2019","Jan 25, 2021",2019,Detective Chinatown 3 3,,Action,Original Screenplay,Live Action,Contemporary Fiction,117000000,0,0,0,0,0,0,570051257,570051257
15,"Feb 22, 2019","Jan 3, 2019",2019,How to Train Your Dragon: The Hidden,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,129000000,4259,4286,27530,55022245,160799505,198541746,360180396,520979901
16,"Oct 18, 2019","Oct 17, 2019",2019,Maleficent: Mistress of Evil,Walt Disney,Adventure,Original Screenplay,Live Action,Fantasy,185000000,3790,3820,21876,36948713,113929605,140669019,375251752,489181357
17,"Sep 6, 2019","Sep 4, 2019",2019,It: Chapter Two,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,70000000,4570,4570,25813,91062152,211593228,261257573,261500000,473093228
18,"Aug 9, 2019","Jun 30, 2018",2019,Wo Bi Shi Yao Shen,China Lion Film Distribution,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,2,2,4,3238,6752,8335,451176640,451183392
19,"Jun 7, 2019","May 24, 2019",2019,The Secret Life of Pets 2,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,80000000,4561,4564,25922,46652680,159214420,196274215,287235488,446449908
20,"Oct 1, 2019","Sep 27, 2019",2019,My People My Country,CMC Pictures,Drama,Based on Real Life Events,Live Action,Historical Fiction,0,67,83,153,875600,2323409,2868748,443852463,446175872
21,"May 10, 2019","May 3, 2019",2019,PokÃ©mon: Detective Pikachu,Warner Bros.,Comedy,Based on Game,Animation/Live Action,Kids Fiction,150000000,4202,4248,20264,54365242,144105346,177929203,288983000,433088346
22,"Feb 14, 2019","Feb 1, 2019",2019,Alita: Battle Angel,20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,170000000,3790,3802,18635,28525613,85838210,105985478,316061830,401900040
23,"May 31, 2019","May 29, 2019",2019,Godzilla: King of the Monsters,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,170000000,4108,4108,17244,47776293,110500138,136436308,276800000,387300138
24,"Dec 25, 2019","Dec 25, 2019",2019,1917,Universal,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,100000000,11,3987,28882,576216,159227644,196176179,224482428,383710072
25,"Jul 26, 2019","Jul 24, 2019",2019,Once Upon a Time in Hollywood,Sony Pictures,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,90000000,3659,3659,25655,41082018,142502728,175946594,234924175,377426903
26,"Oct 18, 2019","Sep 28, 2019",2019,Zhongguo jizhang,Well Go USA,Drama,Based on Real Life Events,Live Action,Factual,0,47,47,107,324769,706572,872419,371857186,372563758
27,"Apr 5, 2019","Apr 3, 2019",2019,Shazam,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,85000000,4217,4306,21838,53505326,140371656,173319156,225600000,365971656
28,"Mar 29, 2019","Mar 27, 2019",2019,Dumbo,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,170000000,4259,4259,22182,45990748,114766307,141703816,238400000,353166307
29,"May 17, 2019","May 15, 2019",2019,John Wick: Chapter 3 Parabellum,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,75000000,3850,3850,23967,56818067,171016727,211157112,155668652,326685379
30,"Nov 27, 2019","Nov 27, 2019",2019,Knives Out,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,40000000,3461,3461,28835,26769548,165364060,204044106,147534686,312898746
31,"Mar 22, 2019","Mar 20, 2019",2019,Us,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,4500000,3741,3743,18595,71117625,175084580,216179758,80536419,255620999
32,"Jun 14, 2019","Jun 12, 2019",2019,Men in Black: International,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,110000000,4224,4224,18294,30035838,80001807,98779527,174308196,254310003
33,"Oct 11, 2019","May 30, 2019",2019,Parasite,Neon,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,11800000,3,2001,14566,393216,53867897,66311958,199810262,253678159
34,"Nov 1, 2019","Oct 25, 2019",2019,Terminator: Dark Fate,Paramount Pictures,Action,Original Screenplay,Animation/Live Action,Science Fiction,185000000,4086,4086,13254,29033832,62253077,76864875,188114589,250367666
35,"Jan 18, 2019","Jan 17, 2019",2019,Glass,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,20000000,3841,3844,20285,40328920,111048468,137113335,135950571,246999039
36,"Jun 7, 2019","Jun 5, 2019",2019,Dark Phoenix,20th Century Fox,Action,Based on Fiction Book/Short Story,Live Action,Super Hero,200000000,3721,3721,11844,32828348,65845974,81301087,180510921,246356895
37,"Aug 9, 2019","Jul 27, 2019",2019,Lie huo ying xiong,Sony Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,0,150,150,187,110375,290217,358335,244889313,245179530
38,"Nov 8, 2019","Jun 28, 2019",2019,Shao Nian De Ni,Well Go USA,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,70,88,208,989536,1921657,2372702,229561130,231482787
39,"Jun 26, 2019","Jun 26, 2019",2019,Annabelle Comes Home,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,27000000,3613,3613,15742,20269723,74152591,91557402,157100000,231252591
40,"Nov 15, 2019","Nov 14, 2019",2019,Ford v. Ferrari,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,97600000,3528,3746,25166,31474958,117624357,145204645,106766349,224390706
41,"Dec 25, 2019","Dec 25, 2019",2019,Little Women,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,42000000,3308,3308,21532,16755310,108095955,133278171,110742431,218838386
42,"Oct 11, 2019","Oct 11, 2019",2019,The Addams Family,United Artists,Adventure,Based on TV,Digital Animation,Kids Fiction,24000000,4007,4207,25972,30300007,97864733,120833337,102723813,200588546
43,"Dec 31, 2019","Dec 5, 2019",2019,Wu Sha,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,199276793,199276793
44,"Sep 20, 2019","Sep 12, 2019",2019,Downton Abbey,Focus Features,Drama,Based on TV,Live Action,Historical Fiction,0,3079,3548,19263,31033665,96853865,119587031,97840860,194694725
45,"Dec 25, 2019","Nov 29, 2019",2019,Yip Man 4,Well Go USA,Action,Based on Real Life Events,Multiple Production Methods,Historical Fiction,0,70,125,428,1459523,3956031,4878964,188661860,192617891
46,"Feb 8, 2019","Feb 6, 2019",2019,The LEGO Movie 2: The Second Part,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,99000000,4303,4303,24210,34115335,105806508,130641007,86500000,192306508
47,"May 31, 2019","May 22, 2019",2019,Rocketman,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,41000000,3610,3610,19552,25725722,96368160,118987319,94627033,190995193
48,"Sep 27, 2019","Sep 19, 2019",2019,Abominable,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,75000000,4242,4248,19825,20612100,60761390,75017455,127907499,188668889
49,"Sep 30, 2019","Sep 28, 2019",2019,Pan Deng Zhe,Well Go USA,Adventure,Based on Real Life Events,Live Action,Dramatization,0,102,102,136,156096,487157,601500,173521647,174008804
50,"Oct 11, 2019","Oct 3, 2019",2019,Gemini Man,Paramount Pictures,Action,Original Screenplay,Animation/Live Action,Science Fiction,140000000,3642,3642,13042,20552372,48546770,59941484,118051592,166598362
51,"Dec 25, 2019","Dec 25, 2019",2019,Spies in Disguise,20th Century Fox,Adventure,Based on Short Film,Digital Animation,Kids Fiction,100000000,3502,3502,15937,13354798,66757013,82325264,98367080,165124093
52,"Jan 4, 2019","Jan 2, 2019",2019,Escape Room,Sony Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,9000000,2717,2717,15143,18238172,57000756,93022307,98614971,155615727
53,"Jun 28, 2019","Jun 21, 2019",2019,Yesterday,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,2603,2755,17224,17010050,73286650,90488211,81496674,154783324
54,"Aug 13, 2019","Aug 2, 2019",2019,The Angry Birds Movie 2,Sony Pictures,Adventure,Based on Game,Digital Animation,Kids Fiction,65000000,3869,3869,16044,10354073,41657076,51434668,110598112,152255188
55,"Mar 15, 2019","Nov 30, 2018",2019,Bi Bei Shang Geng Bei Shang De Gu Shi,China Lion Film Distribution,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,26,40,121,185928,722669,892291,150333552,151056221
56,"Sep 13, 2019","Sep 12, 2019",2019,Hustlers,STX Entertainment,Drama,Based on Factual Book/Article,Live Action,Dramatization,20700000,3250,3525,19080,33181361,104963598,129600238,45504321,150467919
57,"Sep 20, 2019","Sep 19, 2019",2019,Ad Astra,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,80000000,3460,3460,13219,19001398,50188370,61968395,84966456,135154826
58,"Aug 23, 2019","Aug 22, 2019",2019,Angel Has Fallen,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,40000000,3286,3336,18519,21380987,69030436,85232997,64315147,133345583
59,"Jul 19, 2019","Jul 12, 2019",2019,Yin He Bu Xi Ban,China Lion Film Distribution,Drama,Original Screenplay,Live Action,Fantasy,0,0,0,0,0,0,0,127897924,127897924
60,"Nov 8, 2019","Nov 7, 2019",2019,Midway,Lionsgate,Action,Based on Real Life Events,Live Action,Dramatization,100000000,3242,3242,15920,17897419,56846802,70188141,69940558,126787360
61,"Jan 11, 2019","Jan 10, 2019",2019,The Upside,STX Entertainment,Comedy,Based on Real Life Events,Live Action,Dramatization,37500000,3080,3568,26922,20355000,108235497,133640114,17582943,125818440
62,"Oct 18, 2019","Oct 9, 2019",2019,Zombieland: Double Tap,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,48000000,3468,3468,12445,26803104,73118130,90279621,52094888,125213018
63,"Dec 31, 2019","Jan 24, 2020",2019,Zhong Guo Nu Pai,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,124965617,124965617
64,"Nov 8, 2019","Nov 7, 2019",2019,Last Christmas,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000,3448,3454,13469,11441055,35150750,43401107,88278631,123429381
65,"Apr 19, 2019","Apr 17, 2019",2019,The Curse of La Llorona,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,9000000,3372,3372,11952,26347631,54733739,67580632,68500000,123233739
66,"Jan 16, 2019","Dec 14, 2018",2019,Dragon Ball Super: Broly,FUNimation,Action,Based on TV,Digital Animation,Fantasy,8500000,1247,1250,3000,9816197,30376755,37506674,92363861,122740616
